性別,年齢,個人/グループ,旅行の目的,Wifi設備,送迎の便利さ,オンライン予約のしやすさ,ホテルの立地,食事の満足度,滞在時の快適さ,チェックイン・アウトの接客,その他のサービス,清潔さ,満足度
女性,42,グループ,学生,4,4,4,4,4,5,5,5,5,5
男性,25,グループ,ビジネス,1,1,1,2,1,1,3,4,1,1
男性,41,グループ,その他,2,2,2,3,5,5,5,4,5,4
女性,50,グループ,航空関係,2,5,2,2,2,5,3,5,4,4
男性,36,個人,旅行,2,4,0,2,4,4,4,4,4,3
女性,24,グループ,旅行,2,2,2,4,3,3,2,4,3,3
男性,62,個人,旅行,3,4,3,4,3,3,5,5,3,3
女性,54,グループ,ビジネス,2,2,2,2,5,2,2,2,1,2
女性,32,グループ,旅行,3,3,3,4,3,3,5,5,3,3
女性,40,個人,旅行,1,4,1,4,2,2,5,1,2,1
女性,64,個人,学生,3,4,3,3,3,2,5,3,4,3
女性,10,個人,学生,2,2,1,3,5,5,3,3,5,4
女性,24,個人,旅行,2,4,2,3,2,2,4,4,2,2
男性,17,個人,学生,2,4,2,3,1,1,4,4,1,1
男性,54,グループ,その他,5,5,3,5,5,5,4,5,5,5
女性,28,グループ,ビジネス,3,3,3,4,2,2,4,4,2,2
男性,32,グループ,旅行,5,5,4,5,4,4,4,5,4,5
男性,39,グループ,ビジネス,4,4,4,3,4,2,4,4,4,3
女性,37,グループ,学生,3,2,3,3,3,3,1,4,3,3
男性,32,グループ,その他,1,1,1,1,4,4,3,4,4,3
男性,22,グループ,旅行,4,4,4,4,5,1,4,5,5,3
男性,43,個人,ビジネス,3,5,3,4,1,4,4,2,5,3
女性,7,個人,ビジネス,3,4,3,3,5,5,4,5,5,4
男性,35,個人,ビジネス,2,4,2,2,4,4,3,5,4,3
女性,33,グループ,旅行,5,5,5,5,3,5,4,3,3,4
女性,31,グループ,学生,3,2,2,2,2,3,1,4,2,3
男性,48,個人,旅行,3,4,3,2,4,4,5,5,4,4
男性,40,個人,学生,1,5,2,3,1,1,4,5,1,1
女性,54,グループ,旅行,3,1,1,1,4,4,3,3,3,4
男性,27,グループ,その他,2,5,4,5,2,2,3,3,2,2
女性,44,グループ,学生,3,3,3,3,2,5,5,2,4,4
男性,38,グループ,その他,4,4,5,3,3,3,1,3,3,3
女性,42,個人,ビジネス,1,5,1,4,5,5,3,3,3,3
男性,36,グループ,ビジネス,4,4,4,2,2,5,5,4,2,4
女性,59,グループ,学生,4,4,4,4,5,4,4,5,4,4
男性,47,個人,その他,2,3,2,4,5,1,1,3,2,2
男性,8,個人,ビジネス,3,4,2,2,2,1,1,5,1,2
女性,20,グループ,旅行,4,0,4,1,5,5,5,5,5,5
女性,58,グループ,ビジネス,1,1,1,2,5,4,4,5,5,3
男性,43,グループ,ビジネス,4,3,3,3,3,2,4,4,1,3
女性,38,グループ,その他,3,0,2,3,4,4,4,4,4,4
男性,47,グループ,旅行,4,4,4,4,4,4,4,2,4,4
女性,25,グループ,旅行,3,3,5,3,3,3,5,2,3,3
男性,39,グループ,旅行,3,3,3,3,3,1,1,3,5,2
男性,55,個人,学生,4,5,4,3,1,1,5,4,1,2
女性,56,グループ,旅行,2,2,2,3,2,2,4,4,2,2
女性,61,個人,学生,3,3,3,3,4,2,3,5,1,3
女性,52,グループ,学生,5,5,3,5,3,5,3,5,4,5
男性,51,個人,旅行,2,4,2,2,1,1,5,4,1,1
男性,69,個人,旅行,2,5,2,2,1,1,3,5,1,2
男性,10,個人,学生,1,5,1,2,2,2,4,4,2,2
女性,47,グループ,旅行,2,3,2,2,3,3,2,2,3,3
女性,23,グループ,旅行,1,2,1,3,1,1,4,4,1,1
男性,49,グループ,旅行,2,2,2,2,4,4,1,2,1,3
女性,25,グループ,その他,4,3,4,3,5,5,1,3,5,5
男性,26,グループ,旅行,2,0,2,4,3,3,5,4,3,3
男性,39,グループ,ビジネス,3,3,3,3,4,3,2,4,5,3
男性,26,個人,ビジネス,4,4,3,1,3,1,1,3,1,2
女性,14,個人,航空関係,2,5,2,3,5,5,2,5,5,4
男性,49,グループ,旅行,2,2,4,2,2,4,5,5,3,3
女性,31,グループ,学生,1,3,3,3,1,1,3,3,1,1
男性,41,個人,ビジネス,2,1,3,3,5,5,2,4,5,4
男性,48,グループ,学生,4,5,2,5,2,3,4,4,4,4
女性,15,グループ,旅行,4,4,4,5,4,4,2,3,4,4
男性,79,グループ,旅行,3,2,2,2,5,4,3,3,3,4
女性,44,個人,ビジネス,2,3,3,2,1,1,3,3,1,1
男性,43,グループ,旅行,1,5,1,1,5,5,1,4,5,4
男性,23,グループ,学生,3,2,2,3,2,4,5,2,2,3
男性,29,グループ,旅行,4,4,4,3,5,5,1,2,5,4
女性,46,グループ,学生,1,1,1,1,4,5,3,5,5,4
男性,41,個人,ビジネス,2,4,2,3,5,5,2,2,5,4
女性,31,個人,ビジネス,2,4,2,4,1,1,3,5,1,2
男性,34,個人,旅行,3,5,3,5,2,1,4,4,2,2
女性,14,個人,学生,3,4,3,4,3,4,4,3,4,3
男性,9,個人,旅行,1,4,1,3,5,5,5,1,5,3
女性,38,個人,学生,2,4,2,3,5,4,5,5,3,3
女性,37,グループ,旅行,3,3,3,3,3,3,2,4,3,3
男性,38,グループ,航空関係,3,3,3,1,3,3,5,3,3,3
男性,47,グループ,ビジネス,1,1,1,1,5,5,3,3,5,4
男性,60,グループ,その他,3,3,4,3,2,4,3,5,5,4
女性,39,グループ,ビジネス,3,3,3,4,3,3,2,3,3,3
女性,17,グループ,旅行,2,1,5,1,4,2,1,3,4,2
女性,26,個人,学生,2,4,2,5,2,2,3,4,2,2
女性,29,グループ,旅行,2,2,2,2,4,4,4,4,4,3
男性,64,個人,旅行,1,4,1,2,1,1,5,4,1,1
女性,22,グループ,旅行,2,5,2,3,4,4,4,4,4,3
男性,57,グループ,その他,5,5,5,5,5,5,1,4,1,5
女性,63,個人,学生,3,5,3,3,4,2,4,2,3,2
男性,30,個人,旅行,3,2,3,4,5,5,4,3,5,4
女性,26,個人,航空関係,2,4,2,4,2,2,5,5,2,2
女性,33,グループ,航空関係,2,2,2,2,5,5,3,4,4,4
男性,41,グループ,その他,5,5,5,5,5,5,3,4,5,5
男性,46,グループ,旅行,2,2,2,2,2,4,5,4,5,3
女性,35,個人,旅行,2,1,1,3,3,3,2,3,3,3
女性,41,個人,ビジネス,2,4,2,5,3,3,4,4,3,3
女性,26,個人,学生,3,4,3,4,1,1,1,3,1,2
男性,46,個人,学生,4,4,4,5,5,5,3,3,5,4
男性,51,個人,旅行,2,5,4,3,4,5,5,4,4,4
女性,38,グループ,航空関係,3,4,4,4,3,3,2,2,3,3
女性,42,グループ,旅行,5,5,5,5,3,1,4,5,2,3
男性,70,個人,ビジネス,2,4,2,5,5,5,4,4,5,4
男性,17,個人,その他,1,5,1,3,1,1,4,1,1,1
女性,22,グループ,その他,4,5,4,1,2,3,5,5,2,3
女性,47,グループ,航空関係,1,1,1,1,2,5,3,5,4,3
男性,41,グループ,ビジネス,2,2,2,2,4,5,4,5,5,4
女性,42,グループ,ビジネス,1,1,1,1,5,4,4,3,3,3
男性,9,個人,ビジネス,3,5,3,4,2,2,3,4,2,2
女性,41,グループ,航空関係,1,2,2,2,1,3,1,1,1,2
男性,51,個人,学生,2,4,1,1,4,4,2,3,4,3
女性,50,グループ,旅行,5,5,1,5,4,4,4,2,4,4
男性,52,グループ,ビジネス,3,4,4,4,2,3,3,3,3,3
男性,29,グループ,航空関係,4,4,2,4,5,5,5,5,5,5
男性,45,グループ,ビジネス,2,2,2,3,4,2,4,4,4,3
男性,28,グループ,ビジネス,1,3,1,2,3,3,2,3,3,2
男性,55,個人,学生,5,5,5,1,3,3,3,5,3,4
男性,40,グループ,その他,4,4,4,4,4,4,1,3,4,4
男性,9,個人,学生,2,4,2,2,5,5,5,4,5,4
女性,38,個人,学生,1,3,1,3,5,5,1,4,5,4
女性,22,グループ,ビジネス,4,0,4,2,2,4,4,4,2,4
女性,49,グループ,学生,3,3,3,3,1,3,2,3,3,3
男性,22,グループ,航空関係,4,4,4,3,3,3,4,3,3,3
男性,45,個人,旅行,2,5,2,4,2,2,3,3,2,2
男性,11,個人,ビジネス,3,1,3,3,3,3,3,3,3,3
女性,29,グループ,旅行,3,3,3,3,4,4,3,5,4,4
男性,69,個人,学生,3,4,0,3,5,3,3,3,5,3
女性,26,グループ,旅行,4,5,4,5,4,4,1,3,4,4
女性,23,グループ,ビジネス,4,0,4,3,4,3,3,4,4,4
男性,46,グループ,航空関係,3,3,3,3,4,4,3,5,5,4
男性,58,グループ,その他,3,3,3,3,4,4,3,5,5,4
男性,58,個人,学生,2,3,2,3,5,3,4,3,5,3
男性,22,個人,旅行,2,3,2,2,1,1,2,1,1,1
女性,9,個人,旅行,2,4,2,1,3,2,4,5,3,2
男性,34,個人,学生,1,4,1,3,1,5,5,3,5,3
女性,32,グループ,その他,2,3,3,3,1,1,2,4,1,2
男性,14,個人,その他,3,4,3,2,5,5,3,5,5,4
男性,55,グループ,その他,1,1,1,1,4,5,3,4,4,3
男性,10,個人,学生,3,4,3,5,4,1,4,5,4,3
女性,46,グループ,学生,5,4,4,4,3,3,2,5,5,4
男性,22,グループ,学生,3,3,3,3,5,5,5,5,5,4
女性,29,グループ,旅行,4,4,4,4,4,4,3,5,4,4
男性,65,グループ,学生,3,4,4,4,5,2,3,3,2,3
男性,32,グループ,旅行,1,2,2,2,1,1,4,3,1,1
女性,57,個人,その他,1,5,1,5,4,3,1,5,1,2
男性,33,個人,学生,2,0,2,3,2,2,3,1,2,2
女性,9,グループ,ビジネス,2,1,1,1,2,2,4,4,2,2
男性,26,個人,学生,4,5,4,1,1,1,5,4,1,2
男性,34,グループ,学生,3,2,2,2,3,3,3,3,3,3
男性,54,個人,ビジネス,4,5,4,3,3,3,4,4,3,3
女性,48,グループ,航空関係,3,4,4,4,1,1,1,3,4,2
女性,37,グループ,学生,4,2,2,2,5,3,2,4,4,4
女性,30,グループ,航空関係,2,4,4,4,2,2,4,3,2,2
女性,20,グループ,旅行,3,4,2,4,3,2,1,4,3,3
男性,21,グループ,航空関係,4,4,4,4,4,4,5,4,4,4
女性,68,個人,旅行,4,1,4,1,1,2,2,3,4,3
男性,57,グループ,学生,2,3,2,2,2,4,3,5,5,3
女性,34,グループ,学生,3,2,2,2,3,3,2,3,1,3
女性,30,グループ,ビジネス,4,4,4,4,4,4,4,4,4,4
男性,24,グループ,ビジネス,1,1,1,4,4,4,3,4,4,3
女性,67,個人,ビジネス,4,4,5,5,4,4,3,1,3,3
男性,44,グループ,航空関係,4,4,4,4,2,5,3,5,2,4
男性,46,グループ,ビジネス,1,5,5,5,1,1,4,3,1,1
女性,45,グループ,学生,3,2,2,2,3,3,2,3,2,3
男性,45,グループ,学生,1,1,1,1,3,4,5,2,4,3
女性,51,グループ,航空関係,1,1,1,1,4,5,5,4,4,3
女性,25,グループ,旅行,3,5,4,5,3,3,2,4,3,3
女性,8,グループ,その他,4,4,4,3,5,5,3,5,5,5
女性,62,個人,その他,4,5,4,4,5,5,5,5,3,4
男性,69,個人,航空関係,3,3,3,3,3,3,3,2,3,3
女性,33,グループ,旅行,2,2,2,1,2,5,5,4,2,3
男性,10,個人,航空関係,1,4,1,4,3,2,1,3,3,2
男性,60,個人,旅行,3,5,3,1,3,3,3,5,3,3
女性,34,グループ,旅行,2,2,2,5,3,3,2,4,3,3
女性,23,グループ,その他,4,4,4,4,1,1,3,1,1,2
男性,63,グループ,学生,1,3,3,3,4,4,3,1,3,2
女性,70,個人,旅行,2,4,2,1,5,5,4,4,5,4
女性,56,グループ,旅行,2,2,2,2,5,5,5,5,5,4
女性,40,グループ,ビジネス,2,2,2,2,2,2,5,5,2,2
女性,57,グループ,ビジネス,3,2,2,2,1,4,1,3,3,3
男性,34,個人,学生,1,0,1,4,4,4,3,3,4,3
女性,41,グループ,旅行,1,4,1,2,2,2,2,4,2,2
女性,30,グループ,その他,3,4,4,4,3,3,4,3,3,3
女性,58,グループ,旅行,5,2,2,2,3,3,4,5,3,4
女性,60,グループ,学生,2,1,1,1,2,4,2,2,1,3
男性,35,個人,学生,4,4,5,3,1,1,2,5,1,2
女性,42,グループ,ビジネス,4,4,4,4,2,4,2,4,3,4
女性,52,グループ,学生,3,3,3,3,5,5,4,4,5,4
女性,47,グループ,学生,4,4,4,4,4,3,2,2,1,3
男性,67,個人,航空関係,3,5,3,3,4,5,4,4,4,4
女性,23,個人,ビジネス,3,2,3,3,4,3,3,3,4,3
男性,25,グループ,航空関係,3,3,3,4,4,4,3,4,4,4
女性,52,グループ,学生,4,2,2,2,3,3,4,4,4,4
男性,27,グループ,学生,2,0,2,3,5,5,5,3,5,4
男性,17,個人,ビジネス,3,3,3,3,2,2,4,5,2,3
女性,48,グループ,航空関係,3,3,3,3,4,4,3,5,5,4
男性,54,個人,旅行,2,5,2,3,4,4,5,4,4,3
男性,33,個人,ビジネス,4,4,4,1,1,1,3,5,1,2
女性,53,グループ,ビジネス,1,2,2,2,2,3,3,1,4,2
女性,45,個人,ビジネス,4,5,4,2,3,4,4,1,5,4
男性,38,グループ,ビジネス,3,3,3,3,3,4,1,5,1,3
女性,38,グループ,航空関係,1,1,1,1,4,4,5,5,4,3
男性,74,グループ,ビジネス,1,3,3,3,1,1,3,3,1,1
男性,29,個人,学生,4,5,4,2,5,5,4,4,5,5
女性,51,グループ,学生,3,3,5,3,3,5,5,2,5,4
女性,52,個人,旅行,1,4,1,1,2,2,5,3,1,1
男性,32,グループ,旅行,2,3,3,3,2,4,1,3,2,3
男性,19,グループ,旅行,3,3,3,3,4,4,3,5,4,4
女性,10,グループ,航空関係,3,1,3,2,2,3,2,2,2,3
女性,57,グループ,ビジネス,3,3,3,3,4,4,1,3,1,3
男性,50,グループ,ビジネス,4,4,4,4,4,4,3,3,4,4
女性,33,グループ,旅行,2,2,2,2,5,4,4,4,3,3
男性,48,グループ,航空関係,2,4,4,4,2,2,3,2,4,2
女性,50,個人,旅行,2,4,2,4,5,5,3,4,3,4
男性,26,グループ,ビジネス,3,4,4,4,3,3,3,3,3,3
男性,30,個人,旅行,3,4,3,4,2,2,1,4,2,3
女性,27,グループ,学生,4,5,5,3,2,1,3,5,2,3
男性,39,グループ,旅行,3,5,3,5,3,3,3,2,3,3
女性,46,グループ,旅行,2,2,2,2,3,4,3,4,3,3
女性,22,グループ,その他,2,0,2,2,2,2,5,4,2,2
女性,31,グループ,学生,3,3,2,3,3,3,4,4,3,3
女性,42,グループ,旅行,5,5,4,4,3,3,4,5,3,4
男性,24,グループ,学生,2,0,2,5,2,2,3,5,2,2
男性,38,グループ,その他,3,0,3,2,5,5,5,5,5,4
男性,44,グループ,学生,2,4,4,4,2,2,2,3,2,2
男性,59,グループ,その他,3,3,3,3,4,5,4,5,5,4
男性,44,グループ,学生,5,5,5,5,5,5,3,5,5,5
男性,23,グループ,旅行,3,3,3,3,5,4,2,3,5,4
女性,25,グループ,旅行,1,3,3,3,1,3,2,4,1,2
女性,46,グループ,旅行,5,5,5,5,2,3,5,2,4,4
女性,50,グループ,学生,3,4,4,4,1,4,2,3,1,3
女性,21,個人,旅行,4,4,4,3,5,2,3,4,5,3
女性,43,グループ,旅行,5,2,2,2,1,4,1,5,1,4
男性,23,グループ,ビジネス,5,5,2,2,5,4,4,1,5,4
女性,65,個人,旅行,3,4,3,2,2,5,5,2,4,4
女性,40,グループ,学生,5,5,5,5,2,5,4,4,3,4
女性,66,グループ,その他,4,4,4,4,3,5,4,4,3,4
女性,28,グループ,学生,2,4,1,3,4,4,1,3,4,3
女性,26,個人,その他,3,4,3,5,2,4,5,4,2,3
男性,41,グループ,ビジネス,2,2,2,2,2,5,4,5,5,4
男性,22,グループ,ビジネス,2,3,3,3,1,2,4,3,1,2
男性,43,個人,学生,1,4,1,3,4,4,3,4,4,3
女性,61,個人,その他,4,5,4,4,2,3,2,4,2,3
男性,37,グループ,旅行,4,0,4,3,4,4,4,2,4,4
男性,36,グループ,旅行,2,4,2,3,1,1,1,3,1,1
女性,65,グループ,学生,1,4,4,4,1,2,2,2,2,1
女性,69,個人,ビジネス,1,4,1,1,2,5,4,5,4,3
男性,26,グループ,ビジネス,4,1,1,1,4,5,2,2,4,4
男性,24,個人,ビジネス,1,3,1,4,3,3,1,4,3,2
男性,9,個人,旅行,1,2,1,2,4,4,2,3,4,3
男性,25,グループ,航空関係,3,5,5,5,3,4,3,3,3,3
男性,60,個人,航空関係,4,4,4,2,4,4,3,2,5,4
男性,16,グループ,旅行,2,1,1,1,2,3,3,3,2,2
女性,14,個人,その他,1,5,1,2,1,1,5,4,1,1
女性,24,グループ,旅行,3,3,2,3,5,5,5,3,5,4
男性,27,グループ,旅行,3,3,3,3,5,3,5,5,5,4
男性,46,グループ,ビジネス,5,5,5,5,2,4,5,4,5,4
男性,56,個人,旅行,3,4,4,3,5,5,4,5,5,4
男性,38,グループ,旅行,5,5,5,3,4,4,5,4,4,4
男性,27,グループ,旅行,3,3,3,3,4,4,4,5,4,4
男性,45,グループ,旅行,2,3,2,2,3,3,3,3,3,3
男性,20,グループ,学生,2,2,2,3,2,4,4,2,4,3
女性,30,グループ,旅行,2,2,2,2,3,3,5,4,3,3
女性,54,グループ,学生,4,4,4,4,5,4,5,5,3,4
男性,26,グループ,旅行,3,0,3,3,1,1,3,3,1,2
女性,26,グループ,ビジネス,3,3,3,3,4,4,4,4,4,4
男性,43,グループ,ビジネス,4,4,4,4,4,5,4,5,4,5
男性,43,個人,旅行,3,2,3,3,2,2,2,4,2,2
女性,26,グループ,航空関係,3,3,3,2,5,5,5,4,5,4
女性,19,個人,旅行,1,4,1,2,4,4,1,1,4,3
男性,45,グループ,旅行,3,3,3,3,4,4,3,4,5,4
男性,44,グループ,旅行,2,2,2,2,5,5,3,4,4,4
男性,62,グループ,旅行,5,4,2,4,5,5,3,1,5,5
男性,34,グループ,旅行,2,3,3,3,3,4,1,2,4,3
女性,41,グループ,旅行,3,3,3,3,5,4,5,4,3,4
女性,65,グループ,航空関係,3,4,4,4,4,2,1,3,1,2
女性,28,グループ,ビジネス,2,3,2,1,1,1,2,5,1,2
女性,46,グループ,旅行,1,1,1,1,4,4,4,5,3,3
女性,36,グループ,学生,3,5,5,5,3,3,1,3,3,3
女性,42,グループ,ビジネス,4,4,4,4,5,5,5,3,5,4
男性,20,個人,ビジネス,4,2,4,3,1,1,4,4,1,2
女性,44,グループ,旅行,4,4,4,4,5,5,5,3,3,4
女性,31,グループ,ビジネス,5,5,4,5,4,4,5,4,4,4
女性,17,個人,ビジネス,2,5,2,5,3,3,5,4,3,3
男性,35,グループ,学生,4,4,4,4,3,5,5,5,5,5
女性,56,グループ,ビジネス,3,3,3,3,3,5,4,4,5,4
男性,68,個人,航空関係,2,2,2,2,2,2,2,1,2,2
男性,20,グループ,ビジネス,3,3,3,1,3,3,4,2,3,3
男性,40,グループ,ビジネス,4,4,4,4,2,5,4,3,4,4
男性,38,グループ,航空関係,4,1,4,3,4,4,2,3,4,4
女性,21,個人,旅行,5,5,5,3,1,1,3,3,1,2
男性,34,グループ,ビジネス,1,1,1,1,5,5,5,5,5,4
男性,39,グループ,その他,1,0,1,4,3,3,5,3,3,2
女性,25,グループ,航空関係,2,2,4,4,2,4,1,4,2,3
女性,48,グループ,旅行,3,1,1,1,5,4,1,3,1,3
男性,39,グループ,その他,4,4,4,4,5,4,4,5,4,4
男性,43,グループ,旅行,5,5,5,5,3,4,5,4,4,4
男性,38,グループ,その他,1,1,1,1,1,1,2,4,1,1
女性,67,個人,学生,4,5,4,4,2,5,4,2,5,4
女性,22,グループ,学生,4,3,2,2,4,5,5,4,4,4
男性,57,グループ,旅行,1,1,1,1,4,5,5,4,4,3
女性,60,グループ,学生,5,5,1,5,2,4,5,4,4,4
男性,58,グループ,旅行,5,5,5,5,5,4,3,4,5,5
男性,13,個人,その他,2,4,2,3,2,1,1,3,1,2
女性,8,個人,その他,3,4,3,4,1,1,3,3,1,2
男性,33,グループ,旅行,2,1,1,4,3,2,5,4,3,2
女性,62,個人,その他,2,4,2,4,2,4,3,3,5,3
男性,36,個人,学生,2,5,3,3,5,5,4,4,5,4
男性,53,個人,旅行,3,4,3,3,5,5,4,3,5,4
女性,60,グループ,旅行,4,4,4,4,2,4,3,2,3,4
男性,49,グループ,旅行,4,4,5,4,4,5,5,4,5,5
男性,70,個人,ビジネス,2,2,0,4,3,3,3,4,3,3
女性,41,個人,ビジネス,2,5,2,5,5,5,3,4,5,4
女性,37,グループ,学生,4,4,4,1,2,2,5,4,2,3
女性,21,グループ,旅行,1,3,1,4,4,4,4,4,4,3
女性,36,グループ,旅行,2,1,2,4,1,1,1,3,1,2
女性,43,グループ,旅行,5,5,5,5,5,4,4,4,3,4
女性,15,グループ,旅行,4,4,4,4,4,3,3,3,4,4
女性,20,グループ,旅行,5,4,5,4,3,3,4,5,3,4
男性,40,グループ,学生,4,4,4,4,2,4,3,5,3,4
女性,36,グループ,航空関係,3,3,3,2,2,2,3,4,2,3
男性,29,グループ,学生,5,1,1,1,5,5,2,1,5,5
男性,12,個人,旅行,1,4,1,2,4,5,4,5,4,3
女性,25,グループ,その他,2,4,2,3,3,3,5,4,3,3
女性,18,グループ,旅行,3,3,3,4,5,5,4,3,5,4
男性,40,グループ,旅行,5,5,5,5,2,5,4,4,5,5
女性,57,個人,旅行,3,4,3,1,1,5,4,2,5,4
男性,33,個人,学生,2,2,0,2,1,1,4,2,1,1
男性,15,個人,ビジネス,2,2,3,4,2,2,2,3,2,2
男性,51,個人,旅行,1,5,1,3,2,2,4,2,3,2
男性,45,グループ,旅行,4,4,4,4,4,5,3,4,5,5
男性,18,グループ,航空関係,3,3,3,4,1,1,4,4,1,2
男性,56,個人,旅行,1,1,1,2,4,4,2,2,4,3
男性,52,グループ,学生,2,2,2,2,5,1,3,5,4,2
男性,63,個人,学生,3,4,3,4,3,3,4,4,3,3
男性,48,グループ,航空関係,4,2,4,2,2,3,1,4,3,3
男性,41,グループ,旅行,5,4,4,4,5,5,3,2,5,5
男性,51,グループ,学生,1,1,1,1,3,5,5,5,4,3
女性,54,グループ,学生,4,4,4,4,2,4,4,5,4,4
女性,32,グループ,航空関係,3,3,3,3,5,5,5,4,5,4
男性,32,グループ,その他,5,5,5,5,5,5,3,4,5,5
男性,50,個人,その他,3,1,3,3,1,1,2,2,1,2
男性,51,個人,ビジネス,3,5,4,4,3,3,3,5,3,3
女性,46,グループ,ビジネス,3,5,5,5,4,3,4,3,3,3
男性,34,グループ,ビジネス,3,3,3,3,2,4,4,5,5,4
男性,44,個人,旅行,3,4,3,4,2,2,1,3,2,2
女性,48,グループ,航空関係,4,4,4,4,2,4,5,5,5,4
男性,29,個人,学生,1,0,1,2,4,4,3,5,4,3
男性,25,個人,ビジネス,2,1,2,3,5,5,1,3,5,4
女性,18,グループ,ビジネス,2,2,2,4,3,3,3,4,3,3
女性,25,グループ,旅行,5,3,5,5,2,2,5,4,2,3
男性,32,グループ,旅行,1,5,2,3,4,4,5,4,4,3
女性,44,グループ,航空関係,4,4,5,4,5,5,4,4,3,4
女性,47,個人,旅行,3,5,3,4,2,5,5,2,5,4
男性,12,個人,ビジネス,2,1,2,4,5,5,3,4,5,4
女性,53,グループ,その他,2,2,2,2,4,5,4,5,4,4
男性,20,グループ,ビジネス,2,5,5,5,2,2,4,3,2,2
女性,11,個人,ビジネス,3,3,3,1,2,1,5,3,2,2
男性,31,グループ,旅行,5,5,5,5,5,5,4,5,5,5
女性,23,グループ,旅行,4,4,4,4,5,5,4,5,5,5
男性,27,グループ,その他,4,4,4,4,5,5,2,3,5,5
女性,29,グループ,旅行,2,2,4,2,5,4,4,5,5,4
女性,44,グループ,学生,1,1,1,1,5,4,4,4,4,3
男性,47,個人,ビジネス,2,4,2,2,5,5,4,4,5,4
男性,49,個人,航空関係,1,1,0,4,4,4,3,4,4,3
女性,45,個人,航空関係,1,4,1,2,3,4,4,3,5,3
女性,29,グループ,学生,2,3,3,3,2,2,2,4,2,2
女性,19,グループ,ビジネス,2,1,2,4,2,5,5,3,5,4
女性,38,グループ,航空関係,4,4,5,4,4,4,1,1,4,4
男性,19,個人,航空関係,4,3,4,4,5,5,5,5,5,5
男性,45,グループ,ビジネス,2,2,2,2,5,5,4,4,3,4
女性,43,個人,ビジネス,1,4,1,3,2,3,3,3,5,2
女性,25,グループ,航空関係,5,5,5,5,4,4,4,1,4,4
女性,42,個人,ビジネス,2,4,2,5,3,5,5,4,4,4
男性,24,グループ,旅行,4,0,4,5,3,3,2,3,3,3
女性,22,グループ,学生,1,1,5,5,1,1,1,3,1,1
女性,51,グループ,航空関係,3,3,1,3,4,2,5,3,1,2
女性,55,グループ,旅行,4,4,4,4,3,5,3,5,3,4
男性,37,グループ,ビジネス,5,5,5,5,5,5,5,4,5,5
男性,53,個人,旅行,2,3,2,2,3,3,1,3,3,3
女性,51,グループ,ビジネス,5,2,2,2,5,5,5,2,5,5
女性,9,個人,ビジネス,1,0,1,1,5,5,3,4,5,4
男性,72,グループ,旅行,3,3,3,3,1,3,5,5,3,3
男性,35,グループ,ビジネス,4,5,5,5,4,4,2,3,4,4
女性,50,グループ,ビジネス,3,2,2,2,2,4,4,3,4,3
男性,50,グループ,その他,2,2,2,5,4,4,4,5,4,4
男性,38,グループ,学生,3,4,4,2,2,2,1,1,2,2
男性,49,個人,航空関係,1,4,1,4,5,5,3,4,5,4
女性,35,個人,旅行,4,4,4,5,5,5,5,4,5,5
女性,31,グループ,学生,4,4,4,4,4,4,5,4,4,4
女性,51,グループ,旅行,4,4,4,4,2,4,1,4,1,4
女性,16,個人,旅行,2,5,2,1,3,3,4,5,3,3
男性,44,グループ,旅行,3,4,4,4,3,3,2,4,3,3
女性,28,グループ,旅行,3,3,3,3,5,5,2,4,5,4
男性,34,グループ,ビジネス,2,2,2,2,1,4,2,2,2,3
女性,35,個人,ビジネス,2,3,2,3,4,3,3,4,4,3
女性,51,グループ,航空関係,4,4,3,4,4,5,5,4,5,5
女性,37,グループ,航空関係,4,5,5,5,4,4,4,1,4,4
女性,36,個人,学生,4,4,4,5,1,4,4,2,1,3
男性,37,グループ,旅行,1,3,1,1,4,5,4,5,5,4
男性,30,グループ,学生,3,3,3,3,2,2,2,4,2,3
女性,28,グループ,学生,2,2,2,2,5,5,2,4,5,4
男性,24,グループ,旅行,2,5,5,5,2,2,4,4,2,2
女性,53,グループ,その他,4,4,4,4,1,4,4,5,5,4
女性,69,個人,学生,3,5,3,3,2,2,4,5,1,2
女性,40,グループ,ビジネス,1,1,2,1,4,1,2,4,3,2
男性,35,グループ,その他,2,2,2,2,3,4,5,4,5,3
女性,29,グループ,ビジネス,4,2,2,2,4,4,4,4,4,4
男性,45,グループ,学生,5,5,5,5,3,5,3,3,5,5
女性,38,個人,旅行,2,4,2,4,5,5,1,1,5,4
女性,60,グループ,ビジネス,5,5,5,5,3,4,5,5,4,4
女性,51,個人,学生,2,1,3,3,1,2,1,2,2,2
男性,42,個人,旅行,3,4,3,3,1,3,4,5,1,3
男性,24,個人,学生,3,1,3,3,1,1,2,3,1,2
男性,34,グループ,ビジネス,3,3,3,3,1,4,3,5,5,4
女性,19,グループ,その他,4,2,3,3,2,2,3,3,2,3
女性,60,グループ,航空関係,4,5,5,5,1,4,4,4,3,4
女性,37,グループ,ビジネス,4,1,1,1,4,3,3,3,4,4
男性,22,グループ,学生,1,3,3,3,1,1,1,4,1,1
女性,36,グループ,ビジネス,3,4,4,4,2,3,3,3,3,3
男性,41,個人,旅行,1,5,1,4,5,5,1,2,5,3
男性,57,グループ,旅行,3,3,3,3,4,5,5,4,5,4
女性,40,グループ,旅行,1,4,4,4,1,1,4,3,1,1
男性,43,グループ,ビジネス,1,1,1,1,5,5,5,5,5,4
